Survey,Date,Tributary,Site,SiteCode,ReachName,ReachCode,UnitNumber,DissolvedOxygen,WaterTemp,RiffleCrestThalweg
Wetted Habitat,09/20/17,Press Creek,,,,,1,7.47,16.2,
Wetted Habitat,09/20/17,Press Creek,,,,,2,5.73,16.1,
Wetted Habitat,09/20/17,Press Creek,,,,,3,6.18,15.4,
Wetted Habitat,09/20/17,Press Creek,,,,,4,8.4,15.8,
Wetted Habitat,09/20/17,Press Creek,,,,,5,6.5,15.5,
Wetted Habitat,05/08/17,Dutch Bill Creek,,,,,1,8.93,13.6,-9999
Wetted Habitat,05/08/17,Dutch Bill Creek,,,,,2,11.97,13.6,-9999
Wetted Habitat,05/08/17,Dutch Bill Creek,,,,,3,12,13.7,-9999
Wetted Habitat,05/08/17,Dutch Bill Creek,,,,,4,11.96,13.6,-9999
Wetted Habitat,05/08/17,Dutch Bill Creek,,,,,5,12.2,13.5,-9999
Wetted Habitat,05/08/17,Dutch Bill Creek,,,,,6,13.14,13.9,-9999
Wetted Habitat,05/08/17,Dutch Bill Creek,,,,,7,13.65,14.2,-9999
Wetted Habitat,05/08/17,Dutch Bill Creek,,,,,8,13.99,14,-9999
Wetted Habitat,05/08/17,Dutch Bill Creek,,,,,9,13.47,13.6,-9999
Wetted Habitat,05/08/17,Dutch Bill Creek,,,,,10,14.19,13.9,-9999
Wetted Habitat,05/09/17,Dutch Bill Creek,,,,,1,12.65,14.1,-9999
Wetted Habitat,05/09/17,Dutch Bill Creek,,,,,2,12.39,14,-9999
Wetted Habitat,05/09/17,Dutch Bill Creek,,,,,3,12.83,14,-9999
Wetted Habitat,05/09/17,Dutch Bill Creek,,,,,4,12.6,14.3,-9999
Wetted Habitat,05/09/17,Dutch Bill Creek,,,,,5,12.08,14.2,-9999
Wetted Habitat,05/09/17,Dutch Bill Creek,,,,,6,11.95,14.6,-9999
Wetted Habitat,05/09/17,Dutch Bill Creek,,,,,7,11.68,14.8,-9999
Wetted Habitat,05/09/17,Dutch Bill Creek,,,,,8,11.45,14.7,-9999
Wetted Habitat,05/09/17,Dutch Bill Creek,,,,,9,11.41,15,-9999
Wetted Habitat,05/22/17,Dutch Bill Creek,,,,,1,8.86,13.6,-9999
Wetted Habitat,05/22/17,Dutch Bill Creek,,,,,2,8.62,13.8,-9999
Wetted Habitat,05/22/17,Dutch Bill Creek,,,,,3,8.85,14,-9999
Wetted Habitat,05/22/17,Dutch Bill Creek,,,,,4,8.71,14.1,-9999
Wetted Habitat,05/22/17,Dutch Bill Creek,,,,,5,9.22,14.2,-9999
Wetted Habitat,05/22/17,Dutch Bill Creek,,,,,6,9.5,14.5,-9999
Wetted Habitat,05/22/17,Dutch Bill Creek,,,,,7,9.67,14.6,-9999
Wetted Habitat,05/22/17,Dutch Bill Creek,,,,,8,9.49,14.7,-9999
Wetted Habitat,05/23/17,Dutch Bill Creek,,,,,1,10.44,14.2,-9999
Wetted Habitat,05/23/17,Dutch Bill Creek,,,,,2,10.6,13.8,-9999
