Site,DissolvedOxygen,WaterTemp,Volume,UnitLength,MaxDepth,Tributary,PoolStudyDate,SampleNumber,AvgWidth,AvgDepth,RiffleCrestThalweg,RiffleLength,PoolTailCrest,Canopy,AlgaeColor,AlgaeCover,RiffleAvgWidth,RiffleAvgDepth,Discharge_cfs,Connected,PoolArea,RiffleArea,Year,CohoYOY_Pass1,CohoParr_Pass1,SteelheadYOY_Pass1,SteelheadParr_Pass1,Date_Pass1,CohoYOY_Pass2,CohoParr_Pass2,SteelheadYOY_Pass2,SteelheadParr_Pass2,Date_Pass2,Observers_Pass1,Observers_Pass2,Average_DO,Average_Temperature,Min_DO,Max_DO,Max_Temperature,ReachType,CohoYOY_MAX,SteelheadYOY_MAX,SteelheadParr_MAX
PS-GRE-P1,9.01,14.9,16.565368,28.59024,61.2648,Green Valley Creek,6/8/2017,1,2.959947,19.574927,7.0104,9.4488,15.24,85,B,2,1.43256,NA,NA,NA,84.625548,13.535967,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.898333333,15.08761905,8.69,9.05,15.18,bedrock,0,0,0
PS-GRE-P2,9.18,14.6,20.131831,16.48968,67.056,Green Valley Creek,6/8/2017,1,4.74726,25.7175,NA,3.84048,6.096,85,B,2,2.80416,NA,NA,NA,78.280765,10.769316,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.303090909,14.87345455,8.95,9.55,15,alluvial,0,0,0
PS-GRE-P3,8.32,13.6,10.914232,14.26464,61.2648,Green Valley Creek,6/12/2017,1,3.17754,24.0792,7.0104,5.76072,7.62,95,B,2,1.64592,NA,0.659771446,NA,45.326445,9.48168,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.221785714,14.57,7.65,8.51,15.06,clay,0,0,0
PS-GRE-P4,8.7,14.1,16.849825,22.79904,51.2064,Green Valley Creek,6/12/2017,1,3.805646,19.420088,9.7536,3.53568,15.24,90,B,2,2.40792,NA,0.551247372,NA,86.76503,8.513631,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.5725,14.72916667,8.17,8.77,15.26,clay,0,0,0
PS-MIL-P1,8.99,18.2,35.725671,41.69664,61.2648,Mill Creek,6/13/2017,1,3.20802,26.7081,15.8496,3.5052,14.9352,85,B,2,3.71856,NA,5.276737661,NA,133.763597,13.034291,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.466842105,17.83631579,8.23,8.99,18.56,alluvial,0,0,0
PS-MIL-P2,9,16.9,26.582347,19.2024,72.8472,Mill Creek,6/13/2017,1,4.46913,30.9753,12.4968,9.50976,15.5448,90,B,2,3.80492,NA,5.330336231,NA,85.817985,36.18386,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.418571429,17.70571429,8.08,9,18.58,alluvial,0,0,0
PS-MIL-P3,9.91,14.5,63.395082,33.8328,78.0288,Mill Creek,6/13/2017,1,5.53212,33.8709,25.908,3.16992,12.192,95,B,2,2.69748,NA,5.417546304,NA,187.167029,8.550792,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.3692,16.298,9.15,9.91,17.26,bedrock,0,0,0
PS-MIL-P4,9.5,13.1,33.68572,19.56816,98.7552,Mill Creek,6/13/2017,1,4.16814,41.3004,15.24,12.86256,10.668,80,B,2,4.24688,NA,1.703487052,NA,81.562795,54.625724,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.128813559,14.88101695,8.85,9.58,15.68,bedrock,0,0,0
PS-DUT-P1,8.12,16.4,45.792948,40.72128,100.8888,Dutch Bill Creek,6/15/2017,1,4.01574,28.0035,11.2776,8.16864,10.3632,90,NA,1,1.4224,NA,2.032278332,NA,163.526003,11.619067,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.715789474,15.95210526,7.19,8.19,16.42,alluvial,0,0,0
PS-DUT-P2,7.48,15.4,20.308041,25.87752,56.388,Dutch Bill Creek,6/15/2017,1,3.29565,23.8125,11.5824,12.954,10.9728,80,NA,1,2.45872,NA,1.438861122,NA,85.283212,31.850243,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.307391304,15.65043478,6.97,7.68,15.86,alluvial,0,0,0
